127.0.0.1, 2012-05-03 11:27:50, GET, /, HTTP/1.1, 303, 0.000874
127.0.0.1, 2012-05-03 11:27:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.831277
127.0.0.1, 2012-05-03 11:27:52, GET, /admin/default/index, HTTP/1.1, 200, 0.137933
127.0.0.1, 2012-05-03 11:27:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000446
127.0.0.1, 2012-05-03 11:27:54, POST, /admin/default/index, HTTP/1.1, 303, 0.030446
127.0.0.1, 2012-05-03 11:27:55, GET, /admin/default/site, HTTP/1.1, 200, 0.028335
127.0.0.1, 2012-05-03 11:27:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000335
127.0.0.1, 2012-05-03 11:27:56, GET, /admin/default/twitter.load, HTTP/1.1, 200, 1.346722
127.0.0.1, 2012-05-03 11:27:56, GET, /themishrms/default/index, HTTP/1.1, 200, 0.080121
127.0.0.1, 2012-05-03 11:27:56, GET, /themishrms/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002147
127.0.0.1, 2012-05-03 11:27:56, GET, /themishrms/static/js/jquery.js, HTTP/1.1, 304, 0.000881
127.0.0.1, 2012-05-03 11:27:56, GET, /themishrms/static/js/calendar.js, HTTP/1.1, 304, 0.000566
127.0.0.1, 2012-05-03 11:27:56, GET, /themishrms/static/css/calendar.css, HTTP/1.1, 200, 0.001718
127.0.0.1, 2012-05-03 11:27:56, GET, /themishrms/static/css/skeleton.css, HTTP/1.1, 304, 0.001894
127.0.0.1, 2012-05-03 11:27:56, GET, /themishrms/static/js/web2py.js, HTTP/1.1, 304, 0.000482
127.0.0.1, 2012-05-03 11:27:56, GET, /themishrms/static/css/dddropdownpanelteam.css, HTTP/1.1, 304, 0.000898
127.0.0.1, 2012-05-03 11:27:56, GET, /themishrms/static/css/dddropdownpanel.css, HTTP/1.1, 304, 0.001841
127.0.0.1, 2012-05-03 11:27:56, GET, /themishrms/static/css/web2py.css, HTTP/1.1, 304, 0.000563
